Edible,Color,Shape,Surface
E,Brown,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
I,White,Puffballs,RaisedScales-Patches
P,Brown,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
E,Brown-Pale,Puffballs,RaisedScales
E,Brown,Puffballs,RaisedScales
E,White-Pale,Puffballs,FlatScales-RaisedScales
P,White,Convex,Smooth
E,Gray,Convex-Flat,Smooth
E,Brown,Convex-Flat,Smooth-FlatScales
E,Gray-Brown,Convex-Flat,Smooth
P,Pale,Stinkhorns, 
I,Brown,Bellshaped-Flat,Smooth-Silky
E,White-Brown,Conical,FlatScales-Patches
E,White-Brown,Convex-Knobbed,Patches
P,White,Convex-Flat,Smooth
I,White-Pale,Bellshaped-Depressed,Smooth
P,Pink,Bellshaped-Conical,Smooth
E,Pale,Convex-Knobbed,Smooth
I,Brown-White,Convex-Depressed,Smooth
P,Pale-Orange,Bellshaped-Knobbed,Smooth
P,Gray,Convex-Knobbed,Smooth
E,Brown-Gray,Convex-Flat,Smooth
I,Dark,Truffles, 
E,Brown,Convex-Knobbed,Smooth
E,Brown-Dark,Convex,Smooth
E,Brown,Convex-Flat,Smooth
P,Orange,CupFungi,Smooth-RaisedScales
E,Brown,Polypore,Smooth
P,Brown,ToothFungi,Smooth
P,Brown-Green,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Blue-Green,CoralFungi,Smooth
I,Red,CupFungi,Hairy
I,Red,CupFungi,Smooth-Hairy
P,Yellow,CoralFungi,Smooth
E,Brown-Dark,TrueMorels-Conical, 
E,Gray,TrueMorels-Cylindrical, 
E,Tan,TrueMorels-Conical, 
E,Dark,TrueMorels, 
E,Pale,TrueMorels-Conical, 
E,Brown-Dark,TrueMorels-Conical, 
E,Purple-Dark,TrueMorels-Conical, 
E,Gray-Dark,TrueMorels-Conical, 
E,Dark,TrueMorels-Conical, 
E,Gray,TrueMorels, 
E,Dark,TrueMorels, 
E,Gray-Dark,TrueMorels, 
,Yellow-White, , 
P,Red,Stinkhorns, 
E,Red-Dark,Stinkhorns, 
P,Orange-Red,Convex-Bellshaped,Smooth
I,Pink,Conical-Bellshaped,Smooth
I,Gray,Conical-Bellshaped,Smooth
I,Gray,Conical-Bellshaped,Smooth
P,Gray,Conical-Bellshaped,Smooth
P,Yellow,Bellshaped,Smooth
E,Pale,JellyFungi-Convex,Smooth
P,Violet,Convex,Smooth
